# gridcell_lon=-3.50000, gridcell_lat=37.50000
times_utc,alpha,beta,ssa,pwater,pressure,ozone,albedo
2022-01-03 09:30:00,1.24679,0.01033,0.92229,0.672,923.77063,0.31728,0.18792
2022-01-03 10:30:00,1.22674,0.01093,0.9223,0.72619,923.76872,0.31728,0.18792
2022-01-03 11:30:00,1.20189,0.01151,0.92231,0.79684,923.7668,0.31727,0.18792
2022-01-03 12:30:00,1.15931,0.01217,0.92232,0.8764,923.76489,0.31727,0.18792
2022-01-03 13:30:00,1.15136,0.01247,0.92233,0.95108,923.76298,0.31727,0.18792
2022-01-03 14:30:00,1.14345,0.01286,0.92234,1.00945,923.76106,0.31726,0.18791
2022-01-03 15:30:00,1.1418,0.01319,0.92235,1.044,923.75915,0.31726,0.18791
2022-01-03 16:30:00,1.14646,0.01345,0.92236,1.05552,923.75723,0.31726,0.18791
2022-01-03 17:30:00,1.15773,0.01351,0.92237,1.05409,923.75532,0.31725,0.18791
2022-01-03 18:30:00,1.17766,0.01309,0.92239,1.04011,923.7534,0.31725,0.18791
2022-01-03 19:30:00,1.19887,0.01263,0.9224,1.01864,923.75149,0.31724,0.18791
2022-01-03 20:30:00,1.21901,0.01224,0.92241,0.99512,923.74957,0.31724,0.1879
2022-01-03 21:30:00,1.235,0.01209,0.92242,0.98191,923.74766,0.31724,0.1879
2022-01-03 22:30:00,1.242,0.01226,0.92243,0.98176,923.74574,0.31723,0.1879
2022-01-03 23:30:00,1.24814,0.01229,0.92244,0.98584,923.74383,0.31723,0.1879
2022-01-04 00:30:00,1.25687,0.0122,0.92245,0.98848,923.74192,0.31723,0.1879
2022-01-04 01:30:00,1.2702,0.01195,0.92246,0.98927,923.74,0.31722,0.1879
2022-01-04 02:30:00,1.2817,0.01174,0.92247,0.99369,923.73809,0.31722,0.18789
2022-01-04 03:30:00,1.28317,0.01175,0.92249,1.00289,923.73617,0.31721,0.18789
2022-01-04 04:30:00,1.26968,0.01212,0.9225,1.01658,923.73426,0.31721,0.18789
2022-01-04 05:30:00,1.23783,0.01283,0.92251,1.03629,923.73234,0.31721,0.18789
2022-01-04 06:30:00,1.18635,0.01392,0.92252,1.05054,923.73043,0.3172,0.18789
2022-01-04 07:30:00,1.11957,0.01569,0.92253,1.05267,923.72851,0.3172,0.18789
2022-01-04 08:30:00,1.04276,0.01818,0.92254,1.03943,923.7266,0.3172,0.18789
2022-01-04 09:30:00,0.95653,0.02129,0.92255,1.0192,923.72468,0.31719,0.18788
2022-01-04 10:30:00,0.85702,0.02493,0.92256,0.99779,923.72277,0.31719,0.18788
2022-01-04 11:30:00,0.74873,0.02915,0.92257,0.99273,923.72085,0.31719,0.18788
2022-01-04 12:30:00,0.53977,0.0488,0.92259,1.02065,923.71894,0.31718,0.18788
2022-01-04 13:30:00,0.53907,0.05062,0.9226,1.06217,923.71703,0.31718,0.18788
2022-01-04 14:30:00,0.60919,0.04699,0.92261,1.10711,923.71511,0.31717,0.18788
2022-01-04 15:30:00,0.76392,0.03589,0.92262,1.1632,923.7132,0.31717,0.18787
2022-01-04 16:30:00,0.86365,0.03974,0.92263,1.33044,923.71128,0.31717,0.18787
2022-01-04 17:30:00,0.87591,0.04462,0.92264,1.49467,923.70937,0.31716,0.18787
2022-01-04 18:30:00,0.94936,0.04171,0.92265,1.32014,923.70745,0.31716,0.18787
2022-01-04 19:30:00,0.97172,0.02959,0.92266,0.93927,923.70554,0.31716,0.18787
2022-01-04 20:30:00,0.94859,0.0233,0.92267,0.71633,923.70362,0.31715,0.18787
2022-01-04 21:30:00,0.95428,0.02889,0.92269,0.65301,923.70171,0.31715,0.18786
2022-01-04 22:30:00,0.93515,0.02809,0.9227,0.6469,923.69979,0.31715,0.18786
2022-01-04 23:30:00,0.92891,0.02624,0.92271,0.65216,923.69788,0.31714,0.18786
2022-01-05 00:30:00,1.01316,0.03408,0.92272,0.6485,923.69597,0.31714,0.18786
2022-01-05 01:30:00,1.0534,0.03779,0.92273,0.62947,923.69405,0.31713,0.18786
2022-01-05 02:30:00,1.08436,0.03185,0.92274,0.60619,923.69214,0.31713,0.18786
2022-01-05 03:30:00,1.12011,0.0337,0.92275,0.58143,923.69022,0.31713,0.18786
2022-01-05 04:30:00,1.15483,0.03147,0.92276,0.54868,923.68831,0.31712,0.18785
2022-01-05 05:30:00,1.19454,0.0252,0.92277,0.5339,923.68639,0.31712,0.18785
2022-01-05 06:30:00,1.22184,0.02244,0.92279,0.54175,923.68448,0.31712,0.18785
2022-01-05 07:30:00,1.23225,0.02175,0.9228,0.57908,923.68256,0.31711,0.18785
2022-01-05 08:30:00,1.28318,0.0186,0.92281,0.61276,923.68065,0.31711,0.18785
2022-01-05 09:30:00,1.32274,0.01726,0.92282,0.66456,923.67873,0.3171,0.18785
2022-01-05 10:30:00,1.39416,0.01415,0.92283,0.74072,923.67682,0.3171,0.18784
2022-01-05 11:30:00,1.44046,0.01201,0.92284,0.80398,923.6749,0.3171,0.18784
2022-01-05 12:30:00,1.21352,0.01576,0.92285,0.87167,923.67299,0.31709,0.18784
2022-01-05 13:30:00,1.24999,0.01603,0.92286,0.95389,923.67108,0.31709,0.18784
2022-01-05 14:30:00,1.20883,0.01821,0.92288,1.0541,923.66916,0.31709,0.18784
2022-01-05 15:30:00,1.15683,0.02036,0.92289,1.17028,923.66725,0.31708,0.18784
2022-01-05 16:30:00,1.09654,0.02387,0.9229,1.28042,923.66533,0.31708,0.18784
2022-01-05 17:30:00,1.02215,0.02832,0.92291,1.36095,923.66342,0.31708,0.18783
2022-01-05 18:30:00,0.94653,0.03253,0.92292,1.44391,923.6615,0.31707,0.18783
2022-01-05 19:30:00,0.87713,0.03604,0.92293,1.55225,923.65959,0.31707,0.18783
2022-01-05 20:30:00,0.8083,0.04078,0.92294,1.63105,923.65767,0.31706,0.18783
2022-01-05 21:30:00,0.84649,0.04667,0.92295,1.64642,923.65576,0.31706,0.18783
2022-01-05 22:30:00,0.85996,0.03925,0.92296,1.60157,923.65384,0.31706,0.18783
2022-01-05 23:30:00,0.88112,0.02598,0.92298,1.48629,923.65193,0.31705,0.18782
2022-01-06 00:30:00,1.01244,0.03334,0.92299,1.30503,923.65002,0.31705,0.18782
2022-01-06 01:30:00,1.05605,0.03055,0.923,1.10846,923.6481,0.31705,0.18782
2022-01-06 02:30:00,1.1265,0.02025,0.92301,0.95216,923.64619,0.31704,0.18782
2022-01-06 03:30:00,1.1788,0.0231,0.92302,0.88145,923.64427,0.31704,0.18782
2022-01-06 04:30:00,1.17574,0.02576,0.92303,0.84085,923.64236,0.31703,0.18782
2022-01-06 05:30:00,1.21552,0.02095,0.92304,0.7956,923.64044,0.31703,0.18781
2022-01-06 06:30:00,1.25779,0.02003,0.92305,0.74138,923.63853,0.31703,0.18781
2022-01-06 07:30:00,1.31356,0.01688,0.92306,0.66105,923.63661,0.31702,0.18781
2022-01-06 08:30:00,1.3616,0.01393,0.92308,0.54975,923.6347,0.31702,0.18781
2022-01-06 09:30:00,1.38609,0.01089,0.92309,0.43906,923.63278,0.31702,0.18781
2022-01-06 10:30:00,1.52144,0.00776,0.9231,0.36416,923.63087,0.31701,0.18781
2022-01-06 11:30:00,1.58646,0.00662,0.92311,0.32172,923.62895,0.31701,0.18781
2022-01-06 12:30:00,1.69124,0.00572,0.92312,0.30265,923.62704,0.31701,0.1878
2022-01-06 13:30:00,1.701,0.00583,0.92313,0.29622,923.62513,0.317,0.1878
2022-01-06 14:30:00,1.70498,0.00605,0.92314,0.29817,923.62321,0.317,0.1878
2022-01-06 15:30:00,1.3399,0.00983,0.92315,0.30479,923.6213,0.31699,0.1878
2022-01-06 16:30:00,1.38591,0.00944,0.92316,0.31774,923.61938,0.31699,0.1878
2022-01-06 17:30:00,1.42204,0.00915,0.92318,0.34729,923.61747,0.31699,0.1878
2022-01-06 18:30:00,1.46361,0.00939,0.92319,0.39229,923.61555,0.31698,0.18779
2022-01-06 19:30:00,1.50265,0.01013,0.9232,0.44755,923.61364,0.31698,0.18779
2022-01-06 20:30:00,1.52992,0.01102,0.92321,0.51015,923.61172,0.31698,0.18779
2022-01-06 21:30:00,1.56448,0.01134,0.92322,0.5669,923.60981,0.31697,0.18779
2022-01-06 22:30:00,1.59692,0.01133,0.92323,0.60629,923.60789,0.31697,0.18779
2022-01-06 23:30:00,1.62179,0.01094,0.92324,0.63065,923.60598,0.31696,0.18779
2022-01-07 00:30:00,1.64069,0.00994,0.92325,0.6474,923.60407,0.31696,0.18779
2022-01-07 01:30:00,1.65176,0.0087,0.92326,0.65943,923.60215,0.31696,0.18778
2022-01-07 02:30:00,1.65373,0.00821,0.92328,0.67048,923.60024,0.31695,0.18778
2022-01-07 03:30:00,1.64747,0.00819,0.92329,0.67061,923.59832,0.31695,0.18778
2022-01-07 04:30:00,1.63245,0.00832,0.9233,0.65728,923.59641,0.31695,0.18778
2022-01-07 05:30:00,1.61053,0.00842,0.92331,0.62916,923.59449,0.31694,0.18778
2022-01-07 06:30:00,1.58375,0.00844,0.92332,0.59034,923.59258,0.31694,0.18778
2022-01-07 07:30:00,1.55866,0.0084,0.92333,0.54824,923.59066,0.31694,0.18777
2022-01-07 08:30:00,1.54528,0.00829,0.92334,0.52062,923.58875,0.31693,0.18777
2022-01-07 09:30:00,1.53957,0.00817,0.92335,0.52349,923.58683,0.31693,0.18777
2022-01-07 10:30:00,1.53241,0.00815,0.92336,0.55915,923.58492,0.31692,0.18777
2022-01-07 11:30:00,1.51459,0.00841,0.92338,0.60844,923.583,0.31692,0.18777
2022-01-07 12:30:00,1.02413,0.01609,0.92339,0.64229,923.58109,0.31692,0.18777
2022-01-07 13:30:00,1.09318,0.01492,0.9234,0.65463,923.57918,0.31691,0.18776
2022-01-07 14:30:00,1.18522,0.01402,0.92341,0.66365,923.57726,0.31691,0.18776
2022-01-07 15:30:00,1.30298,0.01315,0.92342,0.67712,923.57535,0.31691,0.18776
2022-01-07 16:30:00,1.42565,0.01218,0.92343,0.67831,923.57343,0.3169,0.18776
2022-01-07 17:30:00,1.51101,0.011,0.92344,0.63172,923.57152,0.3169,0.18776
2022-01-07 18:30:00,1.53149,0.00983,0.92345,0.55257,923.5696,0.31689,0.18776
2022-01-07 19:30:00,1.50173,0.009,0.92346,0.47761,923.56769,0.31689,0.18776
2022-01-07 20:30:00,1.45566,0.0087,0.92348,0.43751,923.56577,0.31689,0.18775
2022-01-07 21:30:00,1.41247,0.00873,0.92349,0.42541,923.56386,0.31688,0.18775
2022-01-07 22:30:00,1.3843,0.00876,0.9235,0.41941,923.56194,0.31688,0.18775
2022-01-07 23:30:00,1.37489,0.00865,0.92351,0.40987,923.56003,0.31688,0.18775
2022-01-08 00:30:00,1.37581,0.00827,0.92352,0.39739,923.55811,0.31687,0.18775
